iter	Passed	Remaining
0	1	100
1	2	106
2	2	92
3	3	88
4	4	82
5	5	78
6	5	74
7	6	69
8	6	66
9	7	63
10	7	60
11	7	57
12	8	54
13	8	52
14	8	50
15	9	48
16	9	46
17	9	45
18	10	44
19	10	42
20	11	41
21	11	40
22	11	38
23	11	37
24	12	36
25	12	36
26	12	35
27	13	34
28	13	33
29	13	32
30	14	31
31	14	30
32	14	29
33	15	29
34	15	28
35	15	27
36	15	27
37	16	26
38	16	25
39	16	25
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	7
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	31	4
87	32	4
88	32	3
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
