iter	Passed	Remaining
0	166	166526
1	168	83895
2	168	56107
3	169	42182
4	170	33837
5	173	28749
6	174	24794
7	175	21768
8	176	19405
9	176	17506
10	177	15953
11	178	14659
12	178	13562
13	179	12641
14	180	11821
15	180	11106
16	181	10472
17	181	9906
18	183	9493
19	188	9222
20	189	8828
21	190	8448
22	190	8098
23	191	7776
24	191	7482
25	192	7210
26	193	6959
27	193	6732
28	194	6511
29	194	6303
30	195	6109
31	196	5932
32	197	5785
33	200	5692
34	202	5581
35	203	5438
36	203	5302
37	204	5173
38	204	5050
39	205	4933
40	206	4822
41	206	4716
42	207	4615
43	208	4521
44	208	4430
45	209	4341
46	209	4256
47	211	4185
48	213	4148
49	214	4083
50	215	4016
51	216	3951
52	217	3888
53	218	3826
54	219	3765
55	219	3706
56	220	3646
57	220	3588
58	223	3559
59	226	3549
60	228	3519
61	229	3469
62	229	3420
63	230	3371
64	231	3323
65	231	3277
66	232	3232
67	232	3188
68	233	3148
69	234	3109
70	234	3068
71	235	3029
72	235	2990
73	235	2952
74	236	2916
75	238	2893
76	240	2879
77	242	2867
78	243	2836
79	243	2805
80	244	2775
81	245	2744
82	245	2712
83	246	2683
84	246	2655
85	247	2631
86	248	2603
87	248	2576
88	249	2549
89	249	2523
90	250	2499
91	250	2474
92	251	2455
93	255	2458
94	257	2453
95	258	2430
96	258	2408
97	259	2386
98	259	2365
99	260	2344
100	261	2323
101	261	2304
102	262	2285
103	262	2265
104	263	2245
105	263	2225
106	264	2209
107	294	2430
108	296	2423
109	297	2409
110	309	2475
111	310	2459
112	312	2454
113	316	2459
114	319	2456
115	321	2446
116	321	2429
117	323	2420
118	325	2411
119	326	2396
120	334	2432
121	335	2414
122	336	2400
123	337	2384
124	342	2394
125	349	2427
126	354	2440
127	358	2439
128	359	2425
129	368	2468
130	369	2453
131	372	2449
132	376	2451
133	383	2475
134	384	2464
135	385	2449
136	386	2435
137	387	2422
138	388	2408
139	389	2394
140	390	2381
141	392	2371
142	393	2359
143	394	2346
144	395	2333
145	396	2320
146	397	2307
147	398	2296
148	399	2284
149	401	2274
150	406	2285
151	407	2273
152	408	2260
153	409	2247
154	409	2234
155	410	2223
156	411	2210
157	412	2198
158	413	2186
159	414	2174
160	414	2160
161	415	2148
162	415	2135
163	416	2124
164	422	2139
165	424	2132
166	425	2120
167	425	2109
168	426	2098
169	427	2088
170	428	2078
171	429	2069
172	430	2058
173	431	2048
174	432	2037
175	434	2036
176	436	2030
177	437	2022
178	438	2012
179	439	2003
180	440	1993
181	441	1983
182	442	1975
183	443	1967
184	444	1959
185	447	1959
186	449	1953
187	451	1947
188	451	1938
189	452	1930
190	453	1921
191	455	1915
192	456	1909
193	457	1901
194	458	1894
195	459	1886
196	464	1893
197	465	1885
198	466	1877
199	467	1869
200	468	1861
201	469	1854
202	470	1846
203	471	1838
204	472	1832
205	473	1825
206	474	1818
207	480	1830
208	482	1824
209	483	1817
210	484	1810
211	484	1802
212	485	1794
213	486	1788
214	488	1783
215	489	1776
216	490	1770
217	492	1766
218	494	1763
219	495	1757
220	496	1749
221	497	1741
222	497	1734
223	498	1726
224	498	1718
225	499	1711
226	500	1703
227	500	1695
228	501	1688
229	501	1680
230	502	1672
231	503	1665
232	504	1662
233	505	1655
234	506	1649
235	507	1642
236	507	1634
237	508	1627
238	508	1619
239	509	1612
240	509	1605
241	510	1598
242	510	1591
243	511	1584
244	511	1577
245	512	1570
246	512	1563
247	513	1556
248	513	1549
249	514	1542
250	514	1535
251	515	1528
252	515	1522
253	516	1515
254	516	1508
255	516	1502
256	517	1496
257	518	1490
258	519	1484
259	520	1482
260	521	1476
261	521	1470
262	522	1463
263	522	1457
264	523	1451
265	523	1445
266	524	1439
267	524	1433
268	525	1427
269	525	1421
270	526	1415
271	526	1409
272	527	1403
273	527	1398
274	528	1392
275	528	1386
276	529	1380
277	529	1375
278	529	1369
279	530	1363
280	530	1358
281	531	1353
282	532	1347
283	532	1342
284	532	1336
285	533	1331
286	534	1327
287	535	1323
288	535	1318
289	536	1313
290	537	1308
291	537	1303
292	538	1298
293	538	1293
294	539	1288
295	539	1283
296	540	1278
297	540	1273
298	541	1268
299	541	1263
300	541	1258
301	542	1253
302	542	1248
303	543	1244
304	543	1239
305	544	1234
306	544	1229
307	545	1225
308	545	1220
309	546	1216
310	547	1212
311	547	1208
312	548	1204
313	549	1201
314	550	1197
315	551	1192
316	551	1188
317	552	1183
318	552	1179
319	552	1175
320	553	1170
321	553	1166
322	554	1162
323	554	1157
324	555	1153
325	555	1149
326	556	1145
327	556	1140
328	557	1136
329	557	1132
330	558	1128
331	558	1124
332	559	1120
333	559	1115
334	560	1111
335	560	1108
336	561	1104
337	561	1100
338	562	1096
339	562	1092
340	563	1089
341	564	1086
342	565	1082
343	565	1078
344	566	1075
345	566	1071
346	567	1067
347	567	1063
348	568	1059
349	568	1055
